"Dzien symulacji: ","1","Liczba roslin: ","99","Liczba zwierzat: ","107","Liczba wolnych pol : ","710","Najpopularniejszy genotyp: ","[3, 1, 1, 0, 3, 5, 1, 1]","Sredni poziom energii zyjacych: ","17,69","Srednia dlugosc zycia martwych: ","0,00"
"Dzien symulacji: ","14","Liczba roslin: ","106","Liczba zwierzat: ","82","Liczba wolnych pol : ","714","Najpopularniejszy genotyp: ","[6, 6, 5, 5, 4, 5, 5, 3]","Sredni poziom energii zyjacych: ","11,79","Srednia dlugosc zycia martwych: ","8,55"
"Dzien symulacji: ","15","Liczba roslin: ","111","Liczba zwierzat: ","80","Liczba wolnych pol : ","711","Najpopularniejszy genotyp: ","[4, 2, 3, 1, 2, 5, 3, 6]","Sredni poziom energii zyjacych: ","11,38","Srednia dlugosc zycia martwych: ","8,69"
"Dzien symulacji: ","16","Liczba roslin: ","111","Liczba zwierzat: ","78","Liczba wolnych pol : ","715","Najpopularniejszy genotyp: ","[4, 2, 3, 1, 2, 5, 3, 6]","Sredni poziom energii zyjacych: ","11,56","Srednia dlugosc zycia martwych: ","8,74"
"Dzien symulacji: ","17","Liczba roslin: ","112","Liczba zwierzat: ","78","Liczba wolnych pol : ","713","Najpopularniejszy genotyp: ","[4, 2, 3, 1, 2, 5, 3, 6]","Sredni poziom energii zyjacych: ","11,33","Srednia dlugosc zycia martwych: ","8,74"
"Dzien symulacji: ","18","Liczba roslin: ","108","Liczba zwierzat: ","78","Liczba wolnych pol : ","717","Najpopularniejszy genotyp: ","[4, 2, 3, 1, 2, 5, 3, 6]","Sredni poziom energii zyjacych: ","11,62","Srednia dlugosc zycia martwych: ","8,74"
"Dzien symulacji: ","19","Liczba roslin: ","108","Liczba zwierzat: ","78","Liczba wolnych pol : ","716","Najpopularniejszy genotyp: ","[4, 2, 3, 1, 2, 5, 3, 6]","Sredni poziom energii zyjacych: ","11,38","Srednia dlugosc zycia martwych: ","8,74"
"Dzien symulacji: ","20","Liczba roslin: ","112","Liczba zwierzat: ","78","Liczba wolnych pol : ","712","Najpopularniejszy genotyp: ","[4, 2, 3, 1, 2, 5, 3, 6]","Sredni poziom energii zyjacych: ","10,64","Srednia dlugosc zycia martwych: ","8,74"
"Dzien symulacji: ","21","Liczba roslin: ","115","Liczba zwierzat: ","48","Liczba wolnych pol : ","737","Najpopularniejszy genotyp: ","[4, 2, 3, 1, 2, 5, 3, 6]","Sredni poziom energii zyjacych: ","16,92","Srednia dlugosc zycia martwych: ","12,76"
"Dzien symulacji: ","22","Liczba roslin: ","116","Liczba zwierzat: ","49","Liczba wolnych pol : ","738","Najpopularniejszy genotyp: ","[4, 2, 3, 1, 2, 5, 3, 6]","Sredni poziom energii zyjacych: ","16,18","Srednia dlugosc zycia martwych: ","12,76"
"Dzien symulacji: ","23","Liczba roslin: ","118","Liczba zwierzat: ","48","Liczba wolnych pol : ","734","Najpopularniejszy genotyp: ","[4, 2, 3, 1, 2, 5, 3, 6]","Sredni poziom energii zyjacych: ","16,60","Srednia dlugosc zycia martwych: ","12,87"
"Dzien symulacji: ","24","Liczba roslin: ","122","Liczba zwierzat: ","46","Liczba wolnych pol : ","734","Najpopularniejszy genotyp: ","[4, 2, 3, 1, 2, 5, 3, 6]","Sredni poziom energii zyjacych: ","16,98","Srednia dlugosc zycia martwych: ","13,03"
"Dzien symulacji: ","25","Liczba roslin: ","127","Liczba zwierzat: ","44","Liczba wolnych pol : ","731","Najpopularniejszy genotyp: ","[7, 5, 3, 1, 7, 7, 2, 0]","Sredni poziom energii zyjacych: ","17,20","Srednia dlugosc zycia martwych: ","13,08"
"Dzien symulacji: ","26","Liczba roslin: ","132","Liczba zwierzat: ","45","Liczba wolnych pol : ","725","Najpopularniejszy genotyp: ","[7, 5, 3, 1, 7, 7, 2, 0]","Sredni poziom energii zyjacych: ","16,04","Srednia dlugosc zycia martwych: ","13,08"
"Dzien symulacji: ","27","Liczba roslin: ","136","Liczba zwierzat: ","45","Liczba wolnych pol : ","720","Najpopularniejszy genotyp: ","[7, 5, 3, 1, 7, 7, 2, 0]","Sredni poziom energii zyjacych: ","15,49","Srednia dlugosc zycia martwych: ","13,08"
"Dzien symulacji: ","28","Liczba roslin: ","139","Liczba zwierzat: ","44","Liczba wolnych pol : ","717","Najpopularniejszy genotyp: ","[7, 5, 3, 1, 7, 7, 2, 0]","Sredni poziom energii zyjacych: ","15,91","Srednia dlugosc zycia martwych: ","13,23"
"Dzien symulacji: ","29","Liczba roslin: ","140","Liczba zwierzat: ","44","Liczba wolnych pol : ","717","Najpopularniejszy genotyp: ","[1, 1, 1, 0, 2, 1, 2, 4]","Sredni poziom energii zyjacych: ","16,27","Srednia dlugosc zycia martwych: ","13,23"
"Dzien symulacji: ","30","Liczba roslin: ","146","Liczba zwierzat: ","44","Liczba wolnych pol : ","715","Najpopularniejszy genotyp: ","[1, 1, 1, 0, 2, 1, 2, 4]","Sredni poziom energii zyjacych: ","15,50","Srednia dlugosc zycia martwych: ","13,23"
"Dzien symulacji: ","31","Liczba roslin: ","152","Liczba zwierzat: ","36","Liczba wolnych pol : ","714","Najpopularniejszy genotyp: ","[1, 1, 1, 0, 2, 1, 2, 4]","Sredni poziom energii zyjacych: ","18,22","Srednia dlugosc zycia martwych: ","14,60"
"Dzien symulacji: ","32","Liczba roslin: ","154","Liczba zwierzat: ","35","Liczba wolnych pol : ","711","Najpopularniejszy genotyp: ","[1, 1, 1, 0, 2, 1, 2, 4]","Sredni poziom energii zyjacych: ","19,17","Srednia dlugosc zycia martwych: ","14,56"
"Dzien symulacji: ","33","Liczba roslin: ","157","Liczba zwierzat: ","35","Liczba wolnych pol : ","710","Najpopularniejszy genotyp: ","[1, 1, 1, 0, 2, 1, 2, 4]","Sredni poziom energii zyjacych: ","19,31","Srednia dlugosc zycia martwych: ","14,56"
"Dzien symulacji: ","34","Liczba roslin: ","157","Liczba zwierzat: ","35","Liczba wolnych pol : ","708","Najpopularniejszy genotyp: ","[1, 1, 1, 0, 2, 1, 2, 4]","Sredni poziom energii zyjacych: ","20,03","Srednia dlugosc zycia martwych: ","14,56"
"Dzien symulacji: ","35","Liczba roslin: ","160","Liczba zwierzat: ","35","Liczba wolnych pol : ","707","Najpopularniejszy genotyp: ","[1, 1, 1, 0, 2, 1, 2, 4]","Sredni poziom energii zyjacych: ","20,29","Srednia dlugosc zycia martwych: ","14,75"
"Dzien symulacji: ","36","Liczba roslin: ","163","Liczba zwierzat: ","32","Liczba wolnych pol : ","705","Najpopularniejszy genotyp: ","[1, 1, 1, 0, 2, 1, 2, 4]","Sredni poziom energii zyjacych: ","22,44","Srednia dlugosc zycia martwych: ","15,00"
"Dzien symulacji: ","37","Liczba roslin: ","168","Liczba zwierzat: ","32","Liczba wolnych pol : ","700","Najpopularniejszy genotyp: ","[1, 1, 1, 0, 2, 1, 2, 4]","Sredni poziom energii zyjacych: ","22,06","Srednia dlugosc zycia martwych: ","15,00"
"Dzien symulacji: ","38","Liczba roslin: ","172","Liczba zwierzat: ","32","Liczba wolnych pol : ","696","Najpopularniejszy genotyp: ","[1, 1, 1, 0, 2, 1, 2, 4]","Sredni poziom energii zyjacych: ","22,00","Srednia dlugosc zycia martwych: ","15,00"
"Dzien symulacji: ","39","Liczba roslin: ","174","Liczba zwierzat: ","33","Liczba wolnych pol : ","696","Najpopularniejszy genotyp: ","[1, 1, 1, 0, 2, 1, 2, 4]","Sredni poziom energii zyjacych: ","21,55","Srednia dlugosc zycia martwych: ","15,00"
"Dzien symulacji: ","40","Liczba roslin: ","179","Liczba zwierzat: ","33","Liczba wolnych pol : ","690","Najpopularniejszy genotyp: ","[1, 1, 1, 0, 2, 1, 2, 4]","Sredni poziom energii zyjacych: ","21,15","Srednia dlugosc zycia martwych: ","15,00"
"Dzien symulacji: ","41","Liczba roslin: ","181","Liczba zwierzat: ","28","Liczba wolnych pol : ","691","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","25,36","Srednia dlugosc zycia martwych: ","16,16"
"Dzien symulacji: ","42","Liczba roslin: ","185","Liczba zwierzat: ","27","Liczba wolnych pol : ","690","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","26,07","Srednia dlugosc zycia martwych: ","16,39"
"Dzien symulacji: ","43","Liczba roslin: ","187","Liczba zwierzat: ","27","Liczba wolnych pol : ","686","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","26,93","Srednia dlugosc zycia martwych: ","16,39"
"Dzien symulacji: ","44","Liczba roslin: ","193","Liczba zwierzat: ","27","Liczba wolnych pol : ","680","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","26,30","Srednia dlugosc zycia martwych: ","16,39"
"Dzien symulacji: ","45","Liczba roslin: ","193","Liczba zwierzat: ","27","Liczba wolnych pol : ","680","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","27,15","Srednia dlugosc zycia martwych: ","16,39"
"Dzien symulacji: ","46","Liczba roslin: ","197","Liczba zwierzat: ","27","Liczba wolnych pol : ","677","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","27,26","Srednia dlugosc zycia martwych: ","16,39"
"Dzien symulacji: ","47","Liczba roslin: ","201","Liczba zwierzat: ","27","Liczba wolnych pol : ","674","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","27,00","Srednia dlugosc zycia martwych: ","16,39"
"Dzien symulacji: ","48","Liczba roslin: ","203","Liczba zwierzat: ","27","Liczba wolnych pol : ","670","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","27,85","Srednia dlugosc zycia martwych: ","16,39"
"Dzien symulacji: ","49","Liczba roslin: ","209","Liczba zwierzat: ","27","Liczba wolnych pol : ","665","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","27,22","Srednia dlugosc zycia martwych: ","16,39"
"Dzien symulacji: ","50","Liczba roslin: ","213","Liczba zwierzat: ","27","Liczba wolnych pol : ","662","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","27,33","Srednia dlugosc zycia martwych: ","16,39"
"Dzien symulacji: ","51","Liczba roslin: ","217","Liczba zwierzat: ","23","Liczba wolnych pol : ","660","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","32,39","Srednia dlugosc zycia martwych: ","17,58"
"Dzien symulacji: ","52","Liczba roslin: ","220","Liczba zwierzat: ","23","Liczba wolnych pol : ","657","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","32,70","Srednia dlugosc zycia martwych: ","17,58"
"Dzien symulacji: ","53","Liczba roslin: ","224","Liczba zwierzat: ","23","Liczba wolnych pol : ","653","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","33,00","Srednia dlugosc zycia martwych: ","17,58"
"Dzien symulacji: ","54","Liczba roslin: ","229","Liczba zwierzat: ","23","Liczba wolnych pol : ","648","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","32,87","Srednia dlugosc zycia martwych: ","17,58"
"Dzien symulacji: ","55","Liczba roslin: ","233","Liczba zwierzat: ","23","Liczba wolnych pol : ","644","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","32,74","Srednia dlugosc zycia martwych: ","17,58"
"Dzien symulacji: ","56","Liczba roslin: ","238","Liczba zwierzat: ","23","Liczba wolnych pol : ","639","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","32,61","Srednia dlugosc zycia martwych: ","17,58"
"Dzien symulacji: ","57","Liczba roslin: ","241","Liczba zwierzat: ","23","Liczba wolnych pol : ","637","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","32,91","Srednia dlugosc zycia martwych: ","17,58"
"Dzien symulacji: ","58","Liczba roslin: ","243","Liczba zwierzat: ","23","Liczba wolnych pol : ","634","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","34,09","Srednia dlugosc zycia martwych: ","17,58"
"Dzien symulacji: ","59","Liczba roslin: ","245","Liczba zwierzat: ","23","Liczba wolnych pol : ","632","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","35,26","Srednia dlugosc zycia martwych: ","17,58"
"Dzien symulacji: ","60","Liczba roslin: ","247","Liczba zwierzat: ","23","Liczba wolnych pol : ","630","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","36,43","Srednia dlugosc zycia martwych: ","17,58"
"Dzien symulacji: ","61","Liczba roslin: ","254","Liczba zwierzat: ","22","Liczba wolnych pol : ","624","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","37,09","Srednia dlugosc zycia martwych: ","17,95"
"Dzien symulacji: ","62","Liczba roslin: ","258","Liczba zwierzat: ","22","Liczba wolnych pol : ","620","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","37,45","Srednia dlugosc zycia martwych: ","17,95"
"Dzien symulacji: ","63","Liczba roslin: ","264","Liczba zwierzat: ","22","Liczba wolnych pol : ","614","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","36,91","Srednia dlugosc zycia martwych: ","17,95"
"Dzien symulacji: ","64","Liczba roslin: ","269","Liczba zwierzat: ","22","Liczba wolnych pol : ","609","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","36,82","Srednia dlugosc zycia martwych: ","17,95"
"Dzien symulacji: ","65","Liczba roslin: ","274","Liczba zwierzat: ","22","Liczba wolnych pol : ","604","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","36,73","Srednia dlugosc zycia martwych: ","17,95"
"Dzien symulacji: ","66","Liczba roslin: ","278","Liczba zwierzat: ","21","Liczba wolnych pol : ","601","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","38,90","Srednia dlugosc zycia martwych: ","18,31"
"Dzien symulacji: ","67","Liczba roslin: ","283","Liczba zwierzat: ","22","Liczba wolnych pol : ","597","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","37,05","Srednia dlugosc zycia martwych: ","18,31"
"Dzien symulacji: ","68","Liczba roslin: ","287","Liczba zwierzat: ","22","Liczba wolnych pol : ","591","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","37,41","Srednia dlugosc zycia martwych: ","18,31"
"Dzien symulacji: ","69","Liczba roslin: ","291","Liczba zwierzat: ","24","Liczba wolnych pol : ","591","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","34,13","Srednia dlugosc zycia martwych: ","18,41"
"Dzien symulacji: ","70","Liczba roslin: ","296","Liczba zwierzat: ","26","Liczba wolnych pol : ","584","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","30,88","Srednia dlugosc zycia martwych: ","18,41"
"Dzien symulacji: ","71","Liczba roslin: ","299","Liczba zwierzat: ","26","Liczba wolnych pol : ","576","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","31,42","Srednia dlugosc zycia martwych: ","18,41"
"Dzien symulacji: ","72","Liczba roslin: ","303","Liczba zwierzat: ","26","Liczba wolnych pol : ","571","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","31,58","Srednia dlugosc zycia martwych: ","18,41"
"Dzien symulacji: ","73","Liczba roslin: ","307","Liczba zwierzat: ","26","Liczba wolnych pol : ","568","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","31,73","Srednia dlugosc zycia martwych: ","18,41"
"Dzien symulacji: ","74","Liczba roslin: ","312","Liczba zwierzat: ","28","Liczba wolnych pol : ","565","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","28,82","Srednia dlugosc zycia martwych: ","18,41"
"Dzien symulacji: ","75","Liczba roslin: ","315","Liczba zwierzat: ","28","Liczba wolnych pol : ","557","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","29,25","Srednia dlugosc zycia martwych: ","18,41"
"Dzien symulacji: ","76","Liczba roslin: ","320","Liczba zwierzat: ","28","Liczba wolnych pol : ","552","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","28,96","Srednia dlugosc zycia martwych: ","18,41"
"Dzien symulacji: ","77","Liczba roslin: ","320","Liczba zwierzat: ","28","Liczba wolnych pol : ","554","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","30,11","Srednia dlugosc zycia martwych: ","18,41"
"Dzien symulacji: ","78","Liczba roslin: ","322","Liczba zwierzat: ","29","Liczba wolnych pol : ","552","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","29,79","Srednia dlugosc zycia martwych: ","18,41"
"Dzien symulacji: ","79","Liczba roslin: ","326","Liczba zwierzat: ","29","Liczba wolnych pol : ","547","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","29,14","Srednia dlugosc zycia martwych: ","18,41"
"Dzien symulacji: ","80","Liczba roslin: ","326","Liczba zwierzat: ","28","Liczba wolnych pol : ","546","Najpopularniejszy genotyp: ","[4, 0, 0, 7, 0, 2, 3, 7]","Sredni poziom energii zyjacych: ","30,96","Srednia dlugosc zycia martwych: ","18,34"
"Dzien symulacji: ","81","Liczba roslin: ","328","Liczba zwierzat: ","24","Liczba wolnych pol : ","548","Najpopularniejszy genotyp: ","[0, 4, 4, 7, 1, 5, 0, 5]","Sredni poziom energii zyjacych: ","36,79","Srednia dlugosc zycia martwych: ","20,38"
"Dzien symulacji: ","82","Liczba roslin: ","329","Liczba zwierzat: ","24","Liczba wolnych pol : ","547","Najpopularniejszy genotyp: ","[0, 4, 4, 7, 1, 5, 0, 5]","Sredni poziom energii zyjacych: ","38,29","Srednia dlugosc zycia martwych: ","20,38"
"Dzien symulacji: ","83","Liczba roslin: ","332","Liczba zwierzat: ","24","Liczba wolnych pol : ","544","Najpopularniejszy genotyp: ","[0, 4, 4, 7, 1, 5, 0, 5]","Sredni poziom energii zyjacych: ","38,96","Srednia dlugosc zycia martwych: ","20,38"
"Dzien symulacji: ","84","Liczba roslin: ","335","Liczba zwierzat: ","23","Liczba wolnych pol : ","542","Najpopularniejszy genotyp: ","[0, 4, 4, 7, 1, 5, 0, 5]","Sredni poziom energii zyjacych: ","40,52","Srednia dlugosc zycia martwych: ","20,30"
"Dzien symulacji: ","85","Liczba roslin: ","338","Liczba zwierzat: ","22","Liczba wolnych pol : ","540","Najpopularniejszy genotyp: ","[0, 4, 4, 7, 1, 5, 0, 5]","Sredni poziom energii zyjacych: ","43,18","Srednia dlugosc zycia martwych: ","20,54"
"Dzien symulacji: ","86","Liczba roslin: ","342","Liczba zwierzat: ","22","Liczba wolnych pol : ","536","Najpopularniejszy genotyp: ","[0, 4, 4, 7, 1, 5, 0, 5]","Sredni poziom energii zyjacych: ","43,09","Srednia dlugosc zycia martwych: ","20,54"
"Dzien symulacji: ","87","Liczba roslin: ","344","Liczba zwierzat: ","21","Liczba wolnych pol : ","535","Najpopularniejszy genotyp: ","[0, 4, 4, 7, 1, 5, 0, 5]","Sredni poziom energii zyjacych: ","46,81","Srednia dlugosc zycia martwych: ","21,06"
"Dzien symulacji: ","88","Liczba roslin: ","351","Liczba zwierzat: ","21","Liczba wolnych pol : ","528","Najpopularniejszy genotyp: ","[0, 4, 4, 7, 1, 5, 0, 5]","Sredni poziom energii zyjacych: ","45,81","Srednia dlugosc zycia martwych: ","21,06"
"Dzien symulacji: ","89","Liczba roslin: ","355","Liczba zwierzat: ","21","Liczba wolnych pol : ","524","Najpopularniejszy genotyp: ","[0, 4, 4, 7, 1, 5, 0, 5]","Sredni poziom energii zyjacych: ","46,24","Srednia dlugosc zycia martwych: ","21,06"
"Dzien symulacji: ","90","Liczba roslin: ","360","Liczba zwierzat: ","20","Liczba wolnych pol : ","521","Najpopularniejszy genotyp: ","[0, 4, 4, 7, 1, 5, 0, 5]","Sredni poziom energii zyjacych: ","48,55","Srednia dlugosc zycia martwych: ","21,06"
"Dzien symulacji: ","91","Liczba roslin: ","364","Liczba zwierzat: ","19","Liczba wolnych pol : ","518","Najpopularniejszy genotyp: ","[0, 4, 4, 7, 1, 5, 0, 5]","Sredni poziom energii zyjacych: ","51,68","Srednia dlugosc zycia martwych: ","21,60"
"Dzien symulacji: ","92","Liczba roslin: ","367","Liczba zwierzat: ","19","Liczba wolnych pol : ","514","Najpopularniejszy genotyp: ","[0, 4, 4, 7, 1, 5, 0, 5]","Sredni poziom energii zyjacych: ","52,79","Srednia dlugosc zycia martwych: ","21,60"
"Dzien symulacji: ","93","Liczba roslin: ","374","Liczba zwierzat: ","19","Liczba wolnych pol : ","507","Najpopularniejszy genotyp: ","[0, 4, 4, 7, 1, 5, 0, 5]","Sredni poziom energii zyjacych: ","51,79","Srednia dlugosc zycia martwych: ","21,60"
"Dzien symulacji: ","94","Liczba roslin: ","376","Liczba zwierzat: ","19","Liczba wolnych pol : ","505","Najpopularniejszy genotyp: ","[0, 4, 4, 7, 1, 5, 0, 5]","Sredni poziom energii zyjacych: ","53,42","Srednia dlugosc zycia martwych: ","21,60"
"Dzien symulacji: ","95","Liczba roslin: ","379","Liczba zwierzat: ","19","Liczba wolnych pol : ","504","Najpopularniejszy genotyp: ","[0, 4, 4, 7, 1, 5, 0, 5]","Sredni poziom energii zyjacych: ","54,53","Srednia dlugosc zycia martwych: ","21,60"
"Dzien symulacji: ","96","Liczba roslin: ","384","Liczba zwierzat: ","20","Liczba wolnych pol : ","499","Najpopularniejszy genotyp: ","[0, 4, 4, 7, 1, 5, 0, 5]","Sredni poziom energii zyjacych: ","51,80","Srednia dlugosc zycia martwych: ","21,60"
"Dzien symulacji: ","97","Liczba roslin: ","386","Liczba zwierzat: ","20","Liczba wolnych pol : ","494","Najpopularniejszy genotyp: ","[0, 4, 4, 7, 1, 5, 0, 5]","Sredni poziom energii zyjacych: ","53,30","Srednia dlugosc zycia martwych: ","21,60"
"Dzien symulacji: ","98","Liczba roslin: ","390","Liczba zwierzat: ","21","Liczba wolnych pol : ","491","Najpopularniejszy genotyp: ","[5, 3, 3, 7, 4, 0, 5, 6]","Sredni poziom energii zyjacych: ","51,19","Srednia dlugosc zycia martwych: ","21,60"
"Dzien symulacji: ","99","Liczba roslin: ","387","Liczba zwierzat: ","21","Liczba wolnych pol : ","494","Najpopularniejszy genotyp: ","[5, 3, 3, 7, 4, 0, 5, 6]","Sredni poziom energii zyjacych: ","54,95","Srednia dlugosc zycia martwych: ","21,60"
